job_title,skills
frontend-dev,"UI/UX, Bootstrap, Git, HTML"
java-dev,"OOP, Java, MySQL, Spring Boot"
cloud-engineer,"Kubernetes, Docker, Terraform, Networking"
data-analyst,"SQL, Excel, Tableau, Data Cleaning"
ml-engineer,"Data Preprocessing, Deep Learning, TensorFlow, MLOps, Python, PyTorch"
cyber-security,"Ethical Hacking, Network Security, Penetration Testing, Linux, Cryptography"
backend-dev,"Node.js, REST API, Flask, SQL, Python"
ml-engineer,"Data Preprocessing, TensorFlow, Deep Learning, Python"
cloud-engineer,"AWS, Networking, CI/CD, Docker, Kubernetes"
cyber-security,"SIEM, Cryptography, Ethical Hacking, Penetration Testing, Network Security, Linux"
cloud-engineer,"Docker, Kubernetes, CI/CD, AWS, Networking, Linux"
cyber-security,"Ethical Hacking, Linux, Network Security, SIEM, Penetration Testing"
data-scientist,"Scikit-learn, Machine Learning, Python, Statistics, Data Visualization, Pandas"
cyber-security,"SIEM, Ethical Hacking, Linux, Network Security"
cyber-security,"Network Security, Ethical Hacking, Linux, SIEM, Cryptography"
java-dev,"OOP, Hibernate, MySQL, Maven, Spring Boot"
cyber-security,"SIEM, Ethical Hacking, Penetration Testing, Cryptography"
data-scientist,"Pandas, Data Visualization, Python, Statistics, Scikit-learn"
java-dev,"MySQL, OOP, Java, Maven, REST API, Hibernate"
data-scientist,"Scikit-learn, Machine Learning, NumPy, Data Visualization"
ml-engineer,"TensorFlow, Deep Learning, Python, PyTorch"
backend-dev,"Django, Python, Docker, Node.js, REST API"
data-scientist,"Scikit-learn, Machine Learning, Pandas, Data Visualization, Statistics"
java-dev,"Hibernate, Maven, OOP, REST API, Spring Boot"
data-analyst,"Data Cleaning, Python, Tableau, Power BI, Statistics, SQL"
data-analyst,"Data Cleaning, SQL, Excel, Power BI, Python, Statistics"
data-analyst,"Tableau, Statistics, SQL, Python, Excel, Data Cleaning"
cyber-security,"Penetration Testing, Linux, Ethical Hacking, Network Security, SIEM, Cryptography"
java-dev,"Spring Boot, Hibernate, REST API, Maven, MySQL"
data-scientist,"Scikit-learn, NumPy, Machine Learning, Python, Pandas"
data-analyst,"Statistics, Data Cleaning, Python, SQL, Power BI"
cloud-engineer,"Linux, Terraform, Docker, AWS, Kubernetes"
ml-engineer,"TensorFlow, Deep Learning, Data Preprocessing, PyTorch"
cyber-security,"SIEM, Penetration Testing, Cryptography, Linux"
backend-dev,"Docker, Flask, REST API, Django, SQL"
backend-dev,"SQL, REST API, Python, Django, Node.js"
ml-engineer,"MLOps, Python, PyTorch, TensorFlow"
cyber-security,"Linux, Penetration Testing, Cryptography, Ethical Hacking, SIEM"
backend-dev,"REST API, Docker, Node.js, Django, Python, SQL"
cloud-engineer,"AWS, Linux, CI/CD, Terraform"
java-dev,"Spring Boot, Maven, Java, OOP, Hibernate"
frontend-dev,"Git, JavaScript, React, Bootstrap"
java-dev,"MySQL, OOP, Maven, Hibernate, Spring Boot, REST API"
cyber-security,"SIEM, Penetration Testing, Linux, Ethical Hacking, Cryptography, Network Security"
data-analyst,"Tableau, SQL, Python, Data Cleaning, Statistics, Excel"
cyber-security,"Network Security, Ethical Hacking, Penetration Testing, SIEM, Cryptography, Linux"
data-scientist,"NumPy, Machine Learning, Data Visualization, Statistics, Python, Pandas"
frontend-dev,"React, Git, JavaScript, HTML, UI/UX"
data-scientist,"Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, Python"
cyber-security,"Linux, Cryptography, Network Security, Penetration Testing, SIEM, Ethical Hacking"
cyber-security,"Linux, Cryptography, Penetration Testing, SIEM, Ethical Hacking"
java-dev,"MySQL, OOP, Java, Hibernate, Spring Boot, REST API"
cloud-engineer,"Linux, Kubernetes, Terraform, AWS"
frontend-dev,"React, Git, HTML, JavaScript"
data-scientist,"Data Visualization, Pandas, Scikit-learn, Statistics, Machine Learning"
cloud-engineer,"Kubernetes, Networking, Linux, AWS, Docker, CI/CD"
data-scientist,"NumPy, Python, Scikit-learn, Data Visualization"
frontend-dev,"Bootstrap, UI/UX, Git, JavaScript"
java-dev,"REST API, OOP, Maven, Hibernate"
ml-engineer,"MLOps, PyTorch, TensorFlow, Python, Deep Learning, Data Preprocessing"
cyber-security,"Linux, SIEM, Ethical Hacking, Network Security, Cryptography"
data-analyst,"SQL, Python, Statistics, Tableau"
data-scientist,"Pandas, Python, Statistics, Machine Learning, Scikit-learn, Data Visualization"
frontend-dev,"Bootstrap, Git, JavaScript, HTML, CSS"
backend-dev,"SQL, Docker, Python, REST API, Node.js"
data-scientist,"Python, Pandas, Machine Learning, Scikit-learn, Data Visualization"
java-dev,"Spring Boot, OOP, REST API, Hibernate, Java, Maven"
backend-dev,"Flask, Django, Docker, Node.js, REST API"
data-analyst,"Statistics, Excel, Power BI, Data Cleaning, Tableau, Python"
backend-dev,"REST API, Docker, Flask, SQL, Python, Node.js"
data-analyst,"SQL, Python, Power BI, Tableau, Statistics, Excel"
data-scientist,"Statistics, NumPy, Scikit-learn, Python"
java-dev,"Hibernate, Maven, REST API, MySQL"
data-scientist,"NumPy, Scikit-learn, Data Visualization, Statistics, Python"
data-scientist,"Data Visualization, Machine Learning, Pandas, Scikit-learn, Statistics"
backend-dev,"Django, Docker, Node.js, SQL"
java-dev,"Java, MySQL, REST API, OOP, Spring Boot, Maven"
cyber-security,"Network Security, Cryptography, Linux, Penetration Testing"
cloud-engineer,"Docker, Linux, AWS, CI/CD"
cyber-security,"Network Security, SIEM, Ethical Hacking, Penetration Testing, Cryptography"
cyber-security,"Penetration Testing, Linux, Cryptography, Network Security"
cyber-security,"Ethical Hacking, Penetration Testing, Cryptography, SIEM"
frontend-dev,"Git, React, Bootstrap, JavaScript, CSS, UI/UX"
frontend-dev,"React, UI/UX, HTML, Git"
data-analyst,"Power BI, Excel, Statistics, SQL"
data-scientist,"Python, Scikit-learn, Statistics, Data Visualization, NumPy, Pandas"
backend-dev,"Flask, Python, Docker, Node.js, SQL"
frontend-dev,"UI/UX, HTML, Bootstrap, React"
java-dev,"MySQL, OOP, Maven, REST API, Hibernate"
frontend-dev,"UI/UX, CSS, JavaScript, HTML"
cloud-engineer,"Kubernetes, Networking, Docker, AWS"
data-analyst,"Tableau, Python, SQL, Power BI, Excel, Data Cleaning"
data-analyst,"Data Cleaning, Statistics, Excel, Python, Power BI, SQL"
backend-dev,"Python, SQL, Django, REST API, Node.js, Docker"
data-scientist,"Python, Machine Learning, NumPy, Statistics, Data Visualization, Pandas"
ml-engineer,"Python, PyTorch, Data Preprocessing, TensorFlow"
ml-engineer,"Data Preprocessing, Python, MLOps, Deep Learning, TensorFlow"
cyber-security,"Network Security, Penetration Testing, Linux, Cryptography, Ethical Hacking"
java-dev,"REST API, Spring Boot, MySQL, Java, Hibernate, OOP"
data-analyst,"Data Cleaning, SQL, Power BI, Excel"
java-dev,"REST API, Maven, OOP, Spring Boot, Java, Hibernate"
data-analyst,"Tableau, SQL, Data Cleaning, Python, Excel"
data-scientist,"Python, Scikit-learn, NumPy, Data Visualization"
data-scientist,"NumPy, Pandas, Scikit-learn, Python"
cyber-security,"SIEM, Penetration Testing, Ethical Hacking, Cryptography, Linux"
java-dev,"MySQL, Spring Boot, REST API, Java"
backend-dev,"Node.js, Django, SQL, Flask"
backend-dev,"REST API, Python, Node.js, Docker"
data-scientist,"Machine Learning, Pandas, Data Visualization, NumPy, Python"
cloud-engineer,"AWS, Terraform, Networking, Docker, CI/CD, Linux"
backend-dev,"Node.js, Flask, Docker, Python"
cloud-engineer,"Linux, AWS, Networking, Kubernetes, Terraform"
frontend-dev,"Git, JavaScript, CSS, UI/UX"
frontend-dev,"CSS, JavaScript, HTML, UI/UX, Git"
java-dev,"OOP, Spring Boot, REST API, Hibernate, Maven, MySQL"
ml-engineer,"Python, TensorFlow, Deep Learning, PyTorch, MLOps"
cyber-security,"Penetration Testing, Linux, SIEM, Cryptography, Network Security"
data-analyst,"Power BI, Excel, Data Cleaning, Tableau, SQL"
backend-dev,"Flask, Python, SQL, REST API, Node.js, Docker"
data-analyst,"Statistics, Power BI, Tableau, Excel"
java-dev,"OOP, REST API, Hibernate, Maven, Spring Boot"
data-analyst,"Tableau, SQL, Power BI, Python"
data-analyst,"Power BI, Tableau, Python, Excel"
frontend-dev,"Bootstrap, UI/UX, CSS, JavaScript, HTML, Git"
data-analyst,"Python, Data Cleaning, Statistics, Tableau, Excel, Power BI"
frontend-dev,"Git, UI/UX, HTML, JavaScript, React"
data-analyst,"Data Cleaning, Excel, Tableau, Power BI"
backend-dev,"REST API, Python, Django, Flask"
data-analyst,"Power BI, Statistics, SQL, Excel, Tableau, Data Cleaning"
backend-dev,"REST API, Docker, Node.js, Python, Django"
data-analyst,"SQL, Data Cleaning, Power BI, Tableau, Excel, Statistics"
data-scientist,"Scikit-learn, Data Visualization, Machine Learning, NumPy, Statistics"
cyber-security,"Penetration Testing, Cryptography, Ethical Hacking, SIEM"
data-scientist,"Pandas, Data Visualization, Statistics, Scikit-learn, Python, NumPy"
data-analyst,"Tableau, Power BI, Data Cleaning, SQL"
cloud-engineer,"AWS, Docker, CI/CD, Kubernetes, Terraform"
backend-dev,"Node.js, REST API, Django, Docker, Python, SQL"
data-scientist,"Data Visualization, Statistics, Python, NumPy, Pandas"
frontend-dev,"CSS, React, UI/UX, JavaScript"
backend-dev,"Python, Node.js, SQL, Flask, Django"
ml-engineer,"Python, Deep Learning, Data Preprocessing, PyTorch"
data-analyst,"Power BI, Tableau, Python, Statistics"
cloud-engineer,"CI/CD, Docker, Kubernetes, Terraform, AWS, Networking"
cloud-engineer,"Terraform, Docker, AWS, Kubernetes, Linux"
cyber-security,"Ethical Hacking, SIEM, Linux, Cryptography"
java-dev,"Maven, Spring Boot, OOP, Hibernate, Java, REST API"
cyber-security,"SIEM, Ethical Hacking, Penetration Testing, Linux, Cryptography, Network Security"
cloud-engineer,"Linux, Docker, Kubernetes, Networking, Terraform, AWS"
backend-dev,"Flask, Django, Node.js, SQL, Python, Docker"
data-analyst,"Excel, Data Cleaning, Python, Power BI, SQL"
data-analyst,"Statistics, Python, Power BI, SQL, Data Cleaning"
cloud-engineer,"Kubernetes, Networking, Terraform, CI/CD"
java-dev,"REST API, Maven, Spring Boot, Java, Hibernate, OOP"
data-analyst,"Python, Data Cleaning, Power BI, SQL, Tableau, Excel"
cloud-engineer,"AWS, CI/CD, Linux, Docker, Networking"
backend-dev,"Docker, REST API, SQL, Flask"
data-analyst,"Data Cleaning, Statistics, Power BI, Excel, SQL"
java-dev,"OOP, Java, Hibernate, REST API"
cyber-security,"Penetration Testing, Cryptography, Network Security, SIEM, Linux"
backend-dev,"SQL, REST API, Flask, Node.js, Django"
data-analyst,"Power BI, Python, Excel, Statistics, Data Cleaning, Tableau"
ml-engineer,"Data Preprocessing, TensorFlow, Deep Learning, MLOps, PyTorch, Python"
backend-dev,"Flask, SQL, REST API, Docker, Python, Django"
frontend-dev,"UI/UX, CSS, React, Bootstrap, Git"
java-dev,"OOP, MySQL, Java, Spring Boot, Hibernate"
java-dev,"Hibernate, Maven, MySQL, Spring Boot, OOP"
ml-engineer,"Deep Learning, MLOps, TensorFlow, Data Preprocessing, PyTorch, Python"
data-analyst,"Tableau, Statistics, Excel, SQL"
data-analyst,"Tableau, Data Cleaning, Power BI, Python, SQL"
data-scientist,"Data Visualization, Statistics, NumPy, Python, Pandas, Machine Learning"
frontend-dev,"React, Git, HTML, UI/UX, JavaScript, Bootstrap"
data-analyst,"SQL, Statistics, Python, Tableau, Power BI, Excel"
cloud-engineer,"Linux, Networking, AWS, Terraform"
java-dev,"Java, MySQL, Spring Boot, REST API, Maven, OOP"
frontend-dev,"JavaScript, Git, CSS, HTML"
backend-dev,"SQL, Django, Node.js, REST API, Flask, Python"
frontend-dev,"HTML, UI/UX, JavaScript, React"
data-scientist,"Statistics, Python, Pandas, Scikit-learn, Data Visualization"
cyber-security,"Linux, Network Security, Cryptography, Penetration Testing, Ethical Hacking"
data-analyst,"Statistics, SQL, Tableau, Power BI, Data Cleaning, Python"
java-dev,"REST API, MySQL, Hibernate, Java"
cyber-security,"Cryptography, SIEM, Network Security, Penetration Testing"
cloud-engineer,"Linux, AWS, Docker, Terraform"
ml-engineer,"Python, Data Preprocessing, PyTorch, Deep Learning"
data-scientist,"NumPy, Python, Scikit-learn, Data Visualization, Machine Learning, Statistics"
cyber-security,"Penetration Testing, Linux, Network Security, Cryptography, SIEM, Ethical Hacking"
backend-dev,"Docker, SQL, Flask, REST API, Django, Python"
cyber-security,"Linux, Ethical Hacking, Network Security, SIEM, Penetration Testing, Cryptography"
java-dev,"REST API, MySQL, Maven, Hibernate"
frontend-dev,"Git, HTML, React, CSS, UI/UX, Bootstrap"
data-analyst,"Tableau, Statistics, Excel, Power BI"
cyber-security,"SIEM, Linux, Network Security, Penetration Testing, Cryptography"
data-analyst,"Statistics, SQL, Power BI, Excel, Data Cleaning, Tableau"
data-analyst,"SQL, Statistics, Excel, Power BI, Python, Data Cleaning"
data-analyst,"Python, Excel, Data Cleaning, Tableau"
backend-dev,"Node.js, Flask, Django, REST API"
backend-dev,"SQL, Docker, Python, REST API, Flask"
java-dev,"OOP, Hibernate, Java, Spring Boot, Maven"
data-analyst,"Excel, Statistics, Tableau, Power BI, Python, SQL"
frontend-dev,"UI/UX, JavaScript, React, Bootstrap"
